 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-1.396548,1.588419,9.643478,-0.043399,-0.008519,0.011195
0,-1.356846,1.592062,9.692055,-0.034629,-0.006712,0.02352
0,-1.32969,1.633969,9.712045,-0.018903,0.000882,0.040046
0,-1.275797,1.714786,9.686671,-0.009039,0.019194,0.038915
0,-1.270552,1.724314,9.614316,-0.001845,0.038879,0.035409
0,-1.236434,1.747813,9.547052,-0.010797,0.042431,0.031097
0,-1.243457,1.781242,9.471577,-0.017411,0.033637,0.024826
0,-1.199008,1.785215,9.472372,-0.020129,0.022949,0.005464
0,-1.239328,1.758481,9.539381,-0.029422,0.008997,-0.010955
0,-1.256457,1.750315,9.569645,-0.045104,0.00041,-0.02604
0,-1.273533,1.724644,9.714615,-0.050429,0.003042,-0.038453
0,-1.286,1.66069,9.780829,-0.051842,0.023396,-0.04065
0,-1.327563,1.694266,9.740025,-0.034787,0.047661,-0.036307
0,-1.355299,1.674394,9.687508,-0.02157,0.051381,-0.022481
0,-1.329727,1.690983,9.603062,-0.009011,0.039709,-0.009592
0,-1.276949,1.694954,9.556619,0.005411,0.022788,-0.002448
0,-1.2617,1.758119,9.508452,0.006194,0.007303,-0.002322
0,-1.198295,1.744263,9.529754,-0.007634,0.027807,-0.010214
0,-1.293097,1.711139,9.488472,-0.025139,0.017938,-0.027355
0,-1.311336,1.703749,9.518349,-0.029053,0.00215,-0.048165
0,-1.313164,1.640961,9.537166,-0.020733,-0.003056,-0.05367
0,-1.373108,1.598258,9.551684,-0.008724,-0.005589,-0.047463
0,-1.444999,1.534437,9.556256,-0.001894,-0.016887,-0.038839
0,-1.442961,1.592599,9.538329,-0.00169,-0.016602,-0.02997
0,-1.482543,1.589939,9.555224,-0.019994,-0.0063,-0.021221
0,-1.425823,1.59079,9.509911,-0.035672,-0.00186,-0.020783
0,-1.453052,1.607483,9.5371,-0.036323,-0.009819,-0.023073
0,-1.479676,1.624491,9.564344,-0.029295,-0.012593,-0.0237
0,-1.466052,1.585199,9.593054,-0.006716,-0.016623,-0.02149
0,-1.437176,1.563819,9.566877,0.010987,-0.012057,-0.012378
0,-1.427942,1.558647,9.609303,0.011098,-0.009623,0.001229
0,-1.41263,1.570452,9.644197,0.009336,-0.013057,-0.005538
0,-1.394643,1.617634,9.710933,0.008063,-0.010751,-0.008306
0,-1.405399,1.57301,9.750885,0.013442,0.00553,-0.018508
0,-1.39999,1.580158,9.767804,0.020668,0.015875,-0.010035
0,-1.357195,1.612835,9.717879,0.030141,0.02348,-0.000149
