 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-0.935188,0.520849,9.96433,-0.031146,0.049853,0.026133
0,-0.975646,0.53811,9.883307,-0.006004,0.056501,0.054375
0,-0.976658,0.555707,9.784279,0.028556,0.060459,0.088688
0,-0.925059,0.690448,9.690336,0.045454,0.047532,0.10557
0,-0.860007,0.748908,9.639377,0.054023,0.035364,0.098678
0,-0.835058,0.753028,9.636065,0.039157,0.017623,0.058899
0,-0.870453,0.699777,9.613226,0.014,-0.002159,0.025882
0,-0.92032,0.612157,9.732411,0.003341,-0.031989,0.01661
0,-0.920876,0.479123,9.793383,0.014389,-0.053011,0.02002
0,-0.924992,0.42818,9.866326,0.044286,-0.069007,0.036505
0,-0.893709,0.337768,9.895777,0.081897,-0.077555,0.050287
0,-0.869935,0.273557,9.966949,0.109094,-0.075969,0.046983
0,-0.840922,0.245854,9.938813,0.11779,-0.045198,0.043757
0,-0.807546,0.195916,9.868828,0.110022,-0.021037,0.056938
0,-0.797342,0.187352,9.827139,0.102789,-0.015321,0.063222
0,-0.771748,0.234901,9.767384,0.106504,0.009931,0.047978
0,-0.79574,0.221346,9.575627,0.115366,0.036156,0.02932
0,-0.835664,0.189481,9.399814,0.105099,0.043897,0.018848
0,-0.858435,0.255469,9.301329,0.073314,0.03336,0.019614
0,-0.836438,0.257658,9.270823,0.027093,0.012277,0.005275
0,-0.866232,0.241555,9.274424,-0.012341,-0.000427,-0.019975
0,-0.899994,0.245232,9.347147,-0.038874,-0.007421,-0.022679
0,-0.915841,0.265464,9.43142,-0.049686,-0.019568,-0.011754
0,-0.940916,0.250401,9.587831,-0.050283,-0.021924,-0.006676
0,-0.930958,0.266817,9.642138,-0.039399,-0.023048,0.006346
0,-0.8792,0.299645,9.677715,-0.030467,-0.027491,0.031785
0,-0.856441,0.378999,9.784078,-0.02577,-0.047986,0.042093
0,-0.834555,0.495983,9.833637,-0.012521,-0.045866,0.041541
0,-0.775738,0.508545,9.800223,-0.003881,-0.034537,0.040262
0,-0.746297,0.56792,9.864818,-0.009557,-0.017789,0.032362
